ModuleCode;ModuleTag;Score
CH4261;CHINESE_STUDIES;50
CH4281;CHINESE_STUDIES;50
CH4401;CHINESE_STUDIES;50
CH4660;CHINESE_STUDIES;50
CH5225;CHINESE_STUDIES;50
CH5225R;CHINESE_STUDIES;50
CH5242;CHINESE_STUDIES;50
CH5242R;CHINESE_STUDIES;50
CH5660;CHINESE_STUDIES;50
CH5880;CHINESE_STUDIES;50
CH5880R;CHINESE_STUDIES;50
CH6201;CHINESE_STUDIES;50
CH6245;CHINESE_STUDIES;50
CH6262;CHINESE_STUDIES;50
CL1101E;CHINESE_STUDIES;50
CL2103;CHINESE_STUDIES;50
CL2241;CHINESE_STUDIES;50
CL2260;CHINESE_STUDIES;50
CL2281;CHINESE_STUDIES;50
CL2291;CHINESE_STUDIES;50
CL3205;CHINESE_STUDIES;50
CL3208;CHINESE_STUDIES;50
CL3211;CHINESE_STUDIES;50
CL3281;CHINESE_STUDIES;50
CM1121;CHEMISTRY;50
CM1161;CHEMISTRY;50
CM1191;CHEMISTRY;50
CM1402;CHEMISTRY;50
CM1502;CHEMISTRY;50
CM2101;CHEMISTRY;50
CM2111;CHEMISTRY;50
CM2121;CHEMISTRY;50
CM2142;CHEMISTRY;50
CM2161;CHEMISTRY;50
CM2191;CHEMISTRY;50
CM2192;CHEMISTRY;50
CM2192A;CHEMISTRY;50
CM2288;CHEMISTRY;50
CM2289;CHEMISTRY;50
CM3181;CHEMISTRY;50
CM3193;CHEMISTRY;50
CM3194;CHEMISTRY;50
CM3211;CHEMISTRY;50
CM3222;CHEMISTRY;50
CM3225;CHEMISTRY;50
CM3232;CHEMISTRY;50
CM3251;CHEMISTRY;50
CM3253;CHEMISTRY;50
CM3261;CHEMISTRY;50
CM3262;CHEMISTRY;50
CM3264;CHEMISTRY;50
CM3265;CHEMISTRY;50
CM3288;CHEMISTRY;50
CM3289;CHEMISTRY;50
CM3291;CHEMISTRY;50
CM3292;CHEMISTRY;50
CM3295;CHEMISTRY;50
CM3296;CHEMISTRY;50
CM3301;CHEMISTRY;50
CM3302;CHEMISTRY;50
CM3303;CHEMISTRY;50
CM3312;CHEMISTRY;50
CM4199A;CHEMISTRY;50
CM4199B;CHEMISTRY;50
CM4201;CHEMISTRY;50
CM4214;CHEMISTRY;50
CM4236;CHEMISTRY;50
CM4241;CHEMISTRY;50
CM4242;CHEMISTRY;50
CM4268;CHEMISTRY;50
CM4269;CHEMISTRY;50
CM4271;CHEMISTRY;50
CM4274;CHEMISTRY;50
CM5225;CHEMISTRY;50
CM5237;CHEMISTRY;50
CM5245;CHEMISTRY;50
CM5262;CHEMISTRY;50
CN1111;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN1111E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN2108;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN2116;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN2116E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN2121;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN2122;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN2125;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN2125E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN3108;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN3109;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN3124;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN3124E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN3132;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN3135;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN3421;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4118E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN4118R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4121;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4122;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4123E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN4201R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4203R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4208E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN4210E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN4223R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4227E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN4227R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4238R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4240R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4246R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4248;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN5111;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN5173;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CP3101A;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3101B;COMPUTER_SCIENCE;50
CP3106;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3108A;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3108B;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3109;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3200;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3201;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3208;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3209;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3880;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP4101;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CS1010;COMPUTER_SCIENCE;50
CS1010E;COMPUTER_SCIENCE;50
CS1010FC;COMPUTER_SCIENCE;50
CS1010R;COMPUTER_SCIENCE;50
CS1010S;COMPUTER_SCIENCE;50
CS1020;COMPUTER_SCIENCE;50
CS1020E;COMPUTER_SCIENCE;50
CS1231;COMPUTER_SCIENCE;50
CS1231R;COMPUTER_SCIENCE;50
CS2010;COMPUTER_SCIENCE;50
CS2020;COMPUTER_SCIENCE;50
CS2100;COMPUTER_SCIENCE;50
CS2100R;COMPUTER_SCIENCE;50
CS2101;CTR_FOR_ENGLISH_LANGUAGE_COMMUNICATION;50
CS2102;COMPUTER_SCIENCE;50
CS2102R;COMPUTER_SCIENCE;50
CS2103;COMPUTER_SCIENCE;50
CS2103R;COMPUTER_SCIENCE;50
CS2103T;COMPUTER_SCIENCE;50
CS2104R;COMPUTER_SCIENCE;50
CS2105;COMPUTER_SCIENCE;50
CS2105R;COMPUTER_SCIENCE;50
CS2106;COMPUTER_SCIENCE;50
CS2106R;COMPUTER_SCIENCE;50
CS2107;COMPUTER_SCIENCE;50
CS3103;COMPUTER_SCIENCE;50
CS3103L;COMPUTER_SCIENCE;50
CS3201;COMPUTER_SCIENCE;50
CS3202;COMPUTER_SCIENCE;50
CS3210;COMPUTER_SCIENCE;50
CS3211;COMPUTER_SCIENCE;50
CS3217;COMPUTER_SCIENCE;50
CS3218;COMPUTER_SCIENCE;50
CS3223;COMPUTER_SCIENCE;50
CS3225;COMPUTER_SCIENCE;50
CS3230;COMPUTER_SCIENCE;50
CS3230R;COMPUTER_SCIENCE;50
CS3233;COMPUTER_SCIENCE;50
CS3233R;COMPUTER_SCIENCE;50
CS3234;COMPUTER_SCIENCE;50
CS3240;COMPUTER_SCIENCE;50
CS3241;COMPUTER_SCIENCE;50
CS3241R;COMPUTER_SCIENCE;50
CS3242;COMPUTER_SCIENCE;50
CS3243;COMPUTER_SCIENCE;50
CS3243R;COMPUTER_SCIENCE;50
CS3245;COMPUTER_SCIENCE;50
CS3247;COMPUTER_SCIENCE;50
CS3249;COMPUTER_SCIENCE;50
CS3282;COMPUTER_SCIENCE;50
CS3284;COMPUTER_SCIENCE;50
CS3343;COMPUTER_SCIENCE;50
CS3882;COMPUTER_SCIENCE;50
CS4215;COMPUTER_SCIENCE;50
CS4218;COMPUTER_SCIENCE;50
CS4220;COMPUTER_SCIENCE;50
CS4222;COMPUTER_SCIENCE;50
CS4231;COMPUTER_SCIENCE;50
CS4236;COMPUTER_SCIENCE;50
CS4242;COMPUTER_SCIENCE;50
CS4243R;COMPUTER_SCIENCE;50
CS4244;COMPUTER_SCIENCE;50
CS4246R;COMPUTER_SCIENCE;50
CS4247;COMPUTER_SCIENCE;50
CS4248R;COMPUTER_SCIENCE;50
CS4340;COMPUTER_SCIENCE;50
CS4347;COMPUTER_SCIENCE;50
CS4880;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CS5214;COMPUTER_SCIENCE;50
CS5218;COMPUTER_SCIENCE;50
CS5222;COMPUTER_SCIENCE;50
CS5230;COMPUTER_SCIENCE;50
CS5231;COMPUTER_SCIENCE;50
CS5232;COMPUTER_SCIENCE;50
CS5233;COMPUTER_SCIENCE;50
CS5241;COMPUTER_SCIENCE;50
CS5272;COMPUTER_SCIENCE;50
CS5331;COMPUTER_SCIENCE;50
CS5342;COMPUTER_SCIENCE;50
CZ5226;PHARMACY;50
DSC1007;DECISION_SCIENCES;50
DSC1007X;DECISION_SCIENCES;50
DSC2006;DECISION_SCIENCES;50
DSC2008;DECISION_SCIENCES;50
DSC3201;DECISION_SCIENCES;50
DSC3202;DECISION_SCIENCES;50
DSC3203;DECISION_SCIENCES;50
DSC3213;DECISION_SCIENCES;50
DSC3216;DECISION_SCIENCES;50
DSC3222M;DECISION_SCIENCES;50
DSC3224;DECISION_SCIENCES;50
DSC3226;DECISION_SCIENCES;50
DSC3229;DECISION_SCIENCES;50
DSC4211C;DECISION_SCIENCES;50
DSC4211G;DECISION_SCIENCES;50
DSC4219;DECISION_SCIENCES;50
DSC5121;DECISION_SCIENCES;50
DSC5211A;DECISION_SCIENCES;50
EC1101E;ECONOMICS;50
EC1301;ECONOMICS;50
EC2101;ECONOMICS;50
EC2102;ECONOMICS;50
EC2104;ECONOMICS;50
EC2303;ECONOMICS;50
EC2373;ECONOMICS;50
EC2374;ECONOMICS;50
EC3101;ECONOMICS;50
EC3102;ECONOMICS;50
EC3303;ECONOMICS;50
EC3304;ECONOMICS;50
EC3312;ECONOMICS;50
EC3322;ECONOMICS;50
EC3332;ECONOMICS;50
EC3333;ECONOMICS;50
EC3341;ECONOMICS;50
EC3351;ECONOMICS;50
EC3352;ECONOMICS;50
EC3361;ECONOMICS;50
EC3371;ECONOMICS;50
EC3375;ECONOMICS;50
EC3376;ECONOMICS;50
EC3377;ECONOMICS;50
EC3381;ECONOMICS;50
EC3384;ECONOMICS;50
EC3394;ECONOMICS;50
EC3396;ECONOMICS;50
EC3551;ECONOMICS;50
EC3880B;ECONOMICS;50
EC4101;ECONOMICS;50
EC4102;ECONOMICS;50
EC4324;ECONOMICS;50
EC4332;ECONOMICS;50
EC4333;ECONOMICS;50
EC4341;ECONOMICS;50
EC4351;ECONOMICS;50
EC4361;ECONOMICS;50
EC4371;ECONOMICS;50
EC4394;ECONOMICS;50
EC4401;ECONOMICS;50
EC4660;ECONOMICS;50
EC4880;ECONOMICS;50
EC5326R;ECONOMICS;50
EC5332R;ECONOMICS;50
EE1003;ELECTRICAL__COMPUTER_ENGINEERING;50
EE2011;ELECTRICAL__COMPUTER_ENGINEERING;50
EE2011E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
EE2012;ELECTRICAL__COMPUTER_ENGINEERING;50
EE2020;ELECTRICAL__COMPUTER_ENGINEERING;50
EE2020E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
EE2021;ELECTRICAL__COMPUTER_ENGINEERING;50
EE2021E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
EE2022;ELECTRICAL__COMPUTER_ENGINEERING;50
EE2023;ELECTRICAL__COMPUTER_ENGINEERING;50
EE2024;ELECTRICAL__COMPUTER_ENGINEERING;50
EE2031;ELECTRICAL__COMPUTER_ENGINEERING;50
EE2032;ELECTRICAL__COMPUTER_ENGINEERING;50
EE3013C;ELECTRICAL__COMPUTER_ENGINEERING;50
EE3013E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
EE3031;ELECTRICAL__COMPUTER_ENGINEERING;50
EE3031E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
EE3032;ELECTRICAL__COMPUTER_ENGINEERING;50
EE3104C;ELECTRICAL__COMPUTER_ENGINEERING;50
EE3131C;ELECTRICAL__COMPUTER_ENGINEERING;50
EE3304;ELECTRICAL__COMPUTER_ENGINEERING;50
EE3331C;ELECTRICAL__COMPUTER_ENGINEERING;50
EE3407;ELECTRICAL__COMPUTER_ENGINEERING;50
EE3407E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
EE3431C;ELECTRICAL__COMPUTER_ENGINEERING;50
EE3431E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
EE3501C;ELECTRICAL__COMPUTER_ENGINEERING;50
EE3501E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
EE4001;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4104;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4110;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4112E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
EE4114;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4210;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4210E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
EE4212;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4213;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4218;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4302;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4306;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4307;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4401;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4408;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4410A;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4415;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4415E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
EE4431;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4432;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4434;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4509;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4511;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4603;ELECTRICAL__COMPUTER_ENGINEERING;50
EE4605;ELECTRICAL__COMPUTER_ENGINEERING;50
EE5903;ELECTRICAL__COMPUTER_ENGINEERING;50
EE5904R;ELECTRICAL__COMPUTER_ENGINEERING;50
EE5907R;ELECTRICAL__COMPUTER_ENGINEERING;50
EG1108;DEANS_OFFICE_ENGINEERING;50
EG1109;DEANS_OFFICE_ENGINEERING;50
EG1310;ELECTRICAL__COMPUTER_ENGINEERING;50
EG1603;DEANS_OFFICE_ENGINEERING;50
EG2201A;DEANS_OFFICE_ENGINEERING;50
EG2401;DEANS_OFFICE_ENGINEERING;50
EG2603A;DEANS_OFFICE_ENGINEERING;50
EG2604;DEANS_OFFICE_ENGINEERING;50
EG2605;DEANS_OFFICE_ENGINEERING;50
EG2606A;DEANS_OFFICE_ENGINEERING;50
EG2606B;DEANS_OFFICE_ENGINEERING;50
EG3301;DEANS_OFFICE_ENGINEERING;50
EG3601;DEANS_OFFICE_ENGINEERING;50
EG3602;DEANS_OFFICE_ENGINEERING;50
EG4301;DEANS_OFFICE_ENGINEERING;50
EL1101E;ENGLISH_LANGUAGE__LITERATURE;50
EL2201;ENGLISH_LANGUAGE__LITERATURE;50
EL2211;ENGLISH_LANGUAGE__LITERATURE;50
EL3202;ENGLISH_LANGUAGE__LITERATURE;50
EL3208;ENGLISH_LANGUAGE__LITERATURE;50
EL3209;ENGLISH_LANGUAGE__LITERATURE;50
EL3252;ENGLISH_LANGUAGE__LITERATURE;50
EL3258;ENGLISH_LANGUAGE__LITERATURE;50
EL3880F;ENGLISH_LANGUAGE__LITERATURE;50
EL4216;ENGLISH_LANGUAGE__LITERATURE;50
EL4254;ENGLISH_LANGUAGE__LITERATURE;50
EL4255;ENGLISH_LANGUAGE__LITERATURE;50
EL4401;ENGLISH_LANGUAGE__LITERATURE;50
EL4660;ENGLISH_LANGUAGE__LITERATURE;50
EL4880A;ENGLISH_LANGUAGE__LITERATURE;50
EL5250R;ENGLISH_LANGUAGE__LITERATURE;50
EL5252R;ENGLISH_LANGUAGE__LITERATURE;50
EL5253R;ENGLISH_LANGUAGE__LITERATURE;50
EL5270R;ENGLISH_LANGUAGE__LITERATURE;50
EL5880BR;ENGLISH_LANGUAGE__LITERATURE;50
EM1201;CTR_FOR_ENGLISH_LANGUAGE_COMMUNICATION;50
EM1202;CTR_FOR_ENGLISH_LANGUAGE_COMMUNICATION;50
EN1101E;ENGLISH_LANGUAGE__LITERATURE;50
EN2201;ENGLISH_LANGUAGE__LITERATURE;50
EN2202;ENGLISH_LANGUAGE__LITERATURE;50
EN2203;ENGLISH_LANGUAGE__LITERATURE;50
EN2271;ENGLISH_LANGUAGE__LITERATURE;50
EN3222;ENGLISH_LANGUAGE__LITERATURE;50
EN3229;ENGLISH_LANGUAGE__LITERATURE;50
EN3241;ENGLISH_LANGUAGE__LITERATURE;50
EN3249;ENGLISH_LANGUAGE__LITERATURE;50
EN3261;ENGLISH_LANGUAGE__LITERATURE;50
EN3265;ENGLISH_LANGUAGE__LITERATURE;50
EN3880A;ENGLISH_LANGUAGE__LITERATURE;50
EN4223;ENGLISH_LANGUAGE__LITERATURE;50
EN4226;ENGLISH_LANGUAGE__LITERATURE;50
EN4232;ENGLISH_LANGUAGE__LITERATURE;50
EN4247;ENGLISH_LANGUAGE__LITERATURE;50
EN4262;ENGLISH_LANGUAGE__LITERATURE;50
EN4401;ENGLISH_LANGUAGE__LITERATURE;50
EN4660;ENGLISH_LANGUAGE__LITERATURE;50
EN5242R;ENGLISH_LANGUAGE__LITERATURE;50
EN5247R;ENGLISH_LANGUAGE__LITERATURE;50
EN5253R;ENGLISH_LANGUAGE__LITERATURE;50
EN5880AR;ENGLISH_LANGUAGE__LITERATURE;50
