ModuleCode,Tag,Percentage
CS1010,Computer Science,80
CS1020,Algorithm,60
CS1231,Mathematics,70
CS2010,Algorithm,50
CS2100,Computer Science,40
CS2101,Language,30
CS2103T,Computer Science,90
CS2105,Computer Science,30
CS2106,Computer Science,30
CS3201,Computer Science,60
CS3202,Computer Science,60
MA1301,Mathematics,70
MA1521,Analytical,50
MA1101R,Mathematics,70
ST2334,Analytical,60
PC1222,Physics,70
LSM1301,Biology,50
